"path","temporary","usage","replacementUrl"
"/images/aikouza-top.png","/images/img2.svg","AI講座メイン画像",""
"/images/arcana-Youtube.png","/images/img3.svg","Arcana YouTubeアイコン",""
"/images/arcana/arcanacard00001.png","/images/arcana/arcanacard00001.svg","アルカナカード1",""
"/images/arcana/arcanacard00002.png","/images/arcana/arcanacard00002.svg","アルカナカード2",""
"/images/arcana/arcanacard00003.png","/images/arcana/arcanacard00003.svg","アルカナカード3",""
"/images/arcana/arcanacard00004.png","/images/arcana/arcanacard00004.svg","アルカナカード4",""
"/images/arcana/arcanacard00005.png","/images/arcana/arcanacard00005.svg","アルカナカード5",""
"/images/arcana/arcanacard00006.png","/images/arcana/arcanacard00006.svg","アルカナカード6",""
"/images/arcana/arcanacard00007.png","/images/arcana/arcanacard00007.svg","アルカナカード7",""
"/images/arcana/arcanacard00008.png","/images/arcana/arcanacard00008.svg","アルカナカード8",""
"/images/arcana/arcanacard00009.png","/images/arcana/arcanacard00009.svg","アルカナカード9",""
"/images/arcana/arcanacard00010.png","/images/arcana/arcanacard00010.svg","アルカナカード10",""
"/images/arcana/arcanacard00011.png","/images/arcana/arcanacard00011.svg","アルカナカード11",""
"/images/arcana/arcanacard00012.png","/images/arcana/arcanacard00012.svg","アルカナカード12",""
"/images/arrow_blue.png","/images/img4.svg","青矢印",""
"/images/arrow_gray.png","/images/img4.svg","グレー矢印",""
"/images/arrow_yellow.png","/images/img4.svg","黄矢印",""
"/images/arrow50x300bluedark.png","/images/img4.svg","ダークテーマのフロー矢印",""
"/images/arrow50x300pinklight.png","/images/img4.svg","ライトテーマのフロー矢印",""
"/images/artwork01-mori.png","/images/img5.svg","作品：日本の森とデジタル",""
"/images/artwork02-mori.png","/images/img5.svg","作品：日本の森とデジタル II",""
"/images/AWS.png","/images/img3.svg","AWSロゴ",""
"/images/canva.png","/images/img3.svg","Canvaロゴ",""
"/images/click_anime.gif","/images/img4.svg","クリックアニメーション",""
"/images/client-biyo.png","/images/img1.svg","お客様の声：美容",""
"/images/client-cafe.png","/images/img1.svg","お客様の声：カフェ",""
"/images/client-food.png","/images/img1.svg","お客様の声：飲食",""
"/images/client-salon.png","/images/img1.svg","お客様の声：サロン",""
"/images/course02.jpeg","/images/img2.svg","ITスクール コース画像2",""
"/images/course03.jpeg","/images/img2.svg","ITスクール コース画像3",""
"/images/design-intro/1.png","/images/img5.svg","デザイン制作事例1",""
"/images/design-intro/2.png","/images/img5.svg","デザイン制作事例2",""
"/images/design-intro/3.png","/images/img5.svg","デザイン制作事例3",""
"/images/desing-img.jpg","/images/img2.svg","デザインサービス",""
"/images/Docker.png","/images/img3.svg","Dockerロゴ",""
"/images/DynamoDB.png","/images/img3.svg","DynamoDBロゴ",""
"/images/EC2.png","/images/img3.svg","EC2ロゴ",""
"/images/Express.png","/images/img3.svg","Expressロゴ",""
"/images/fanfare_anime.gif","/images/img4.svg","ファンファーレアニメーション",""
"/images/features0tutor01.png","/images/img4.svg","家庭教師の特徴1",""
"/images/features0tutor02.png","/images/img4.svg","家庭教師の特徴2",""
"/images/features0tutor03.png","/images/img4.svg","家庭教師の特徴3",""
"/images/features0tutor04.png","/images/img4.svg","家庭教師の特徴4",""
"/images/Figma.png","/icons/tools/figma.svg","Figmaロゴ",""
"/images/Firebase.png","/images/img3.svg","Firebaseロゴ",""
"/images/flow0tutor01.png","/images/img4.svg","受講フロー1",""
"/images/flow0tutor02.png","/images/img4.svg","受講フロー2",""
"/images/flow0tutor03.png","/images/img4.svg","受講フロー3",""
"/images/flow0tutor04.png","/images/img4.svg","受講フロー4",""
"/images/GitHub.png","/images/img3.svg","GitHubロゴ",""
"/images/good_anime.gif","/images/img4.svg","グッドアニメーション",""
"/images/Illustrator.png","/images/img3.svg","Illustratorロゴ",""
"/images/img1.png","/images/img1.svg","作品画像1",""
"/images/img2.png","/images/img2.svg","作品画像2",""
"/images/img3.png","/images/img3.svg","作品画像3",""
"/images/img4.png","/images/img4.svg","作品画像4",""
"/images/img5.png","/images/img5.svg","作品画像5",""
"/images/instagram-200px.png","/images/img3.svg","Instagramアイコン",""
"/images/jimusurubaner.png","/images/img2.svg","外部サイトバナー",""
"/images/kuronosanbika-icon-Youtube.png","/images/img3.svg","黒の讃美歌 YouTubeアイコン",""
"/images/Lambda.png","/images/img3.svg","Lambdaロゴ",""
"/images/line-intro/1.png","/images/img5.svg","LINE制作事例1",""
"/images/line-intro/2.png","/images/img5.svg","LINE制作事例2",""
"/images/line-intro/3.png","/images/img5.svg","LINE制作事例3",""
